tmax,tmin,rain,tmax_tomorrow
62,47,0.04,59
59,48,0,58
58,42,0,60
60,42,0,56
56,50,0,61
61,43,0,63
63,46,0,62
62,48,0,62
62,53,0,64
64,53,0,64
64,52,0,67
67,54,0,65
65,57,0.25,62
62,50,0.09,63
63,47,0,62
62,49,0,59
59,46,0,61
61,51,0,58
58,52,0.29,58
58,47,0.12,59
59,43,0,66
66,46,0,70
70,47,0,61
61,51,0,61
61,45,0,68
68,45,0,68
68,48,0,60
60,47,0,63
63,51,0,67
67,48,0,62
62,47,0,61
61,51,0.21,64
64,47,0,74
74,49,0,74
74,53,0,62
62,49,0,66
66,46,0,71
71,47,0,75
75,50,0,76
76,53,0,63
63,52,0,62
62,52,0,54
54,51,0.01,56
56,50,0,60
60,52,0,62
62,53,0.04,63
63,49,0,68
68,51,0,77
77,52,0,83
83,55,0,88
88,55,0,72
72,55,0,68
68,53,0,66
66,54,0,64
64,54,0,62
62,52,0,63
63,52,0,64
64,55,0,67
67,57,0,67
67,53,0,60
60,52,0,63
63,53,0,65
65,53,0,61
61,52,0,61
61,52,0,66
66,53,0,68
68,53,0,63
63,54,0,62
62,54,0,71
71,53,0,62
62,53,0,63
63,53,0,69
69,53,0,88
88,55,0,66
66,56,0,66
66,55,0,64
64,54,0,60
60,55,0.25,65
65,52,0,70
70,50,0,75
75,57,0,70
70,56,0,67
67,56,0,66
66,54,0,65
65,54,0,72
72,56,0,72
72,55,0,68
68,57,0,67
67,57,0,66
66,56,0,64
64,56,0,64
64,56,0,70
70,56,0,69
69,56,0,68
68,55,0,69
69,55,0,68
68,55,0,73
73,56,0,85
85,59,0,75
75,57,0,72
72,60,0,68
68,60,0,69
69,59,0,68
68,58,0,63
63,57,0,65
65,57,0,70
70,55,0,68
68,57,0,67
67,57,0,79
79,57,0,83
83,60,0,94
94,63,0,99
99,65,0,76
76,61,0,74
74,61,0,70
70,62,0,68
68,61,0,64
64,59,0,64
64,60,0,68
68,61,0,66
66,60,0,66
66,60,0,67
67,59,0,66
66,58,0,68
68,58,0,75
75,55,0,69
69,57,0,67
67,57,0,67
67,59,0,66
66,58,0,68
68,58,0,65
65,58,0,64
64,57,0,67
67,56,0,77
77,55,0,74
74,58,0,68
68,60,0,68
68,61,0,67
67,60,0,69
69,59,0,69
69,58,0,71
71,60,0,69
69,59,0,68
68,60,0,68
68,60,0,75
75,60,0,76
76,60,0,67
67,60,0,73
73,62,0,76
76,63,0,76
76,63,0,75
75,61,0,69
69,60,0,73
73,59,0,76
76,60,0,72
72,60,0,71
71,60,0,72
72,61,0,76
76,60,0,74
74,58,0,71
